***** Distribution. ORDER 1 *****
77 -> 76 : 0.25532
77 -> 78 : 0.19149
77 -> 67 : 0.19149
77 -> 1 : 0.02128
77 -> 2 : 0.02128
77 -> 87 : 0.31915
76 -> 66 : 0.34043
76 -> 86 : 0.19149
76 -> 75 : 0.23404
76 -> 77 : 0.23404
66 -> 65 : 0.23636
66 -> 56 : 0.34545
66 -> 67 : 0.16364
66 -> 76 : 0.25455
65 -> 55 : 0.35185
65 -> 75 : 0.18519
65 -> 64 : 0.24074
65 -> 66 : 0.22222
55 -> 54 : 0.30263
55 -> 65 : 0.23684
55 -> 45 : 0.25
55 -> 56 : 0.21053
54 -> 64 : 0.1791
54 -> 44 : 0.20896
54 -> 55 : 0.31343
54 -> 53 : 0.29851
64 -> 74 : 0.38182
64 -> 54 : 0.23636
64 -> 63 : 0.18182
64 -> 65 : 0.2
74 -> 73 : 0.23913
74 -> 84 : 0.32609
74 -> 75 : 0.15217
74 -> 64 : 0.28261
73 -> 72 : 0.325
73 -> 83 : 0.25
73 -> 74 : 0.225
73 -> 63 : 0.2
72 -> 71 : 0.42857
72 -> 82 : 0.14286
72 -> 62 : 0.17857
72 -> 73 : 0.25
71 -> 61 : 0.25
71 -> 72 : 0.27941
71 -> 81 : 0.19118
71 -> 70 : 0.27941
61 -> 51 : 0.18033
61 -> 62 : 0.29508
61 -> 71 : 0.32787
61 -> 60 : 0.19672
51 -> 52 : 0.31373
51 -> 41 : 0.19608
51 -> 50 : 0.15686
51 -> 61 : 0.33333
52 -> 53 : 0.33333
52 -> 42 : 0.2037
52 -> 62 : 0.24074
52 -> 51 : 0.22222
53 -> 52 : 0.23438
53 -> 43 : 0.3125
53 -> 54 : 0.26562
53 -> 63 : 0.1875
42 -> 43 : 0.34043
42 -> 52 : 0.29787
42 -> 32 : 0.14894
42 -> 41 : 0.21277
43 -> 44 : 0.24138
43 -> 33 : 0.2931
43 -> 42 : 0.22414
43 -> 53 : 0.24138
44 -> 45 : 0.375
44 -> 54 : 0.23438
44 -> 43 : 0.14062
44 -> 34 : 0.25
45 -> 46 : 0.22892
45 -> 44 : 0.18072
45 -> 35 : 0.31325
45 -> 55 : 0.27711
46 -> 36 : 0.24638
46 -> 56 : 0.2029
46 -> 45 : 0.33333
46 -> 47 : 0.21739
36 -> 26 : 0.29825
36 -> 37 : 0.22807
36 -> 35 : 0.15789
36 -> 46 : 0.31579
26 -> 36 : 0.28889
26 -> 25 : 0.33333
26 -> 27 : 0.15556
26 -> 16 : 0.22222
37 -> 38 : 0.40426
37 -> 36 : 0.25532
37 -> 47 : 0.21277
37 -> 27 : 0.12766
38 -> 48 : 0.28
38 -> 37 : 0.28
38 -> 39 : 0.28
38 -> 28 : 0.16
48 -> 49 : 0.29032
48 -> 47 : 0.33871
48 -> 58 : 0.27419
48 -> 38 : 0.09677
49 -> 59 : 0.2459
49 -> 39 : 0.27869
49 -> 40 : 0.27869
49 -> 48 : 0.19672
59 -> 69 : 0.27143
59 -> 58 : 0.28571
59 -> 50 : 0.25714
59 -> 49 : 0.18571
69 -> 68 : 0.21053
69 -> 60 : 0.33333
69 -> 79 : 0.14035
69 -> 59 : 0.31579
68 -> 67 : 0.2766
68 -> 58 : 0.3617
68 -> 78 : 0.14894
68 -> 69 : 0.21277
67 -> 77 : 0.24444
67 -> 66 : 0.17778
67 -> 57 : 0.31111
67 -> 68 : 0.26667
78 -> 77 : 0.17857
78 -> 88 : 0.28571
78 -> 68 : 0.28571
78 -> 79 : 0.25
56 -> 57 : 0.29851
56 -> 66 : 0.26866
56 -> 46 : 0.22388
56 -> 55 : 0.20896
57 -> 56 : 0.30508
57 -> 58 : 0.23729
57 -> 47 : 0.22034
57 -> 67 : 0.23729
58 -> 68 : 0.21212
58 -> 48 : 0.31818
58 -> 59 : 0.30303
58 -> 57 : 0.16667
47 -> 37 : 0.24138
47 -> 48 : 0.27586
47 -> 46 : 0.25862
47 -> 57 : 0.22414
35 -> 36 : 0.26667
35 -> 34 : 0.21667
35 -> 45 : 0.31667
35 -> 25 : 0.2
33 -> 34 : 0.28571
33 -> 23 : 0.25
33 -> 32 : 0.19643
33 -> 43 : 0.26786
34 -> 24 : 0.26154
34 -> 44 : 0.30769
34 -> 33 : 0.21538
34 -> 35 : 0.21538
24 -> 23 : 0.22917
24 -> 25 : 0.16667
24 -> 34 : 0.4375
24 -> 14 : 0.16667
23 -> 33 : 0.25532
23 -> 22 : 0.19149
23 -> 13 : 0.29787
23 -> 24 : 0.25532
22 -> 32 : 0.20833
22 -> 23 : 0.3125
22 -> 12 : 0.20833
22 -> 21 : 0.27083
32 -> 22 : 0.2093
32 -> 33 : 0.32558
32 -> 42 : 0.23256
32 -> 31 : 0.23256
13 -> 14 : 0.26667
13 -> 12 : 0.33333
13 -> 23 : 0.13333
13 -> 3 : 0.26667
14 -> 4 : 0.21622
14 -> 77 : 0.02703
14 -> 15 : 0.37838
14 -> 24 : 0.24324
14 -> 13 : 0.13514
4 -> 3 : 0.31915
4 -> 5 : 0.21277
4 -> 14 : 0.25532
4 -> 94 : 0.21277
3 -> 93 : 0.29825
3 -> 2 : 0.26316
3 -> 13 : 0.22807
3 -> 4 : 0.21053
93 -> 83 : 0.30303
93 -> 3 : 0.27273
93 -> 92 : 0.22727
93 -> 94 : 0.19697
83 -> 93 : 0.33929
83 -> 73 : 0.17857
83 -> 82 : 0.26786
83 -> 84 : 0.21429
92 -> 2 : 0.22917
92 -> 82 : 0.29167
92 -> 91 : 0.16667
92 -> 93 : 0.3125
2 -> 92 : 0.24138
2 -> 12 : 0.2069
2 -> 1 : 0.2931
2 -> 4 : 0.01724
2 -> 3 : 0.24138
82 -> 83 : 0.17857
82 -> 92 : 0.14286
82 -> 72 : 0.21429
82 -> 81 : 0.46429
12 -> 2 : 0.28571
12 -> 11 : 0.22449
12 -> 13 : 0.26531
12 -> 22 : 0.22449
11 -> 10 : 0.25532
11 -> 12 : 0.25532
11 -> 21 : 0.31915
11 -> 1 : 0.17021
1 -> 46 : 0.01562
1 -> 11 : 0.34375
1 -> 0 : 0.28125
1 -> 2 : 0.26562
1 -> 91 : 0.09375
50 -> 59 : 0.3617
50 -> 40 : 0.25532
50 -> 51 : 0.19149
50 -> 60 : 0.19149
75 -> 85 : 0.27907
75 -> 74 : 0.23256
75 -> 76 : 0.23256
75 -> 65 : 0.25581
85 -> 86 : 0.23404
85 -> 75 : 0.2766
85 -> 95 : 0.29787
85 -> 84 : 0.19149
86 -> 76 : 0.19608
86 -> 96 : 0.2549
86 -> 87 : 0.39216
86 -> 85 : 0.15686
96 -> 86 : 0.33333
96 -> 95 : 0.33333
96 -> 6 : 0.12821
96 -> 97 : 0.20513
87 -> 86 : 0.35294
87 -> 97 : 0.15686
87 -> 88 : 0.17647
87 -> 77 : 0.31373
97 -> 98 : 0.29032
97 -> 96 : 0.22581
97 -> 87 : 0.22581
97 -> 7 : 0.25806
98 -> 99 : 0.30556
98 -> 97 : 0.22222
98 -> 88 : 0.13889
98 -> 8 : 0.33333
99 -> 9 : 0.31429
99 -> 89 : 0.22857
99 -> 98 : 0.17143
99 -> 90 : 0.28571
9 -> 8 : 0.325
9 -> 19 : 0.175
9 -> 99 : 0.25
9 -> 0 : 0.25
8 -> 9 : 0.31707
8 -> 18 : 0.26829
8 -> 98 : 0.21951
8 -> 7 : 0.19512
19 -> 10 : 0.42105
19 -> 29 : 0.34211
19 -> 18 : 0.10526
19 -> 9 : 0.13158
10 -> 11 : 0.17778
10 -> 20 : 0.31111
10 -> 0 : 0.31111
10 -> 19 : 0.2
21 -> 20 : 0.15789
21 -> 31 : 0.4386
21 -> 22 : 0.29825
21 -> 11 : 0.10526
20 -> 21 : 0.34694
20 -> 10 : 0.14286
20 -> 30 : 0.22449
20 -> 29 : 0.28571
31 -> 41 : 0.3
31 -> 21 : 0.24
31 -> 32 : 0.32
