***** Observation. ORDER 1 *****
77 -> 76 : 12
77 -> 78 : 9
77 -> 67 : 9
77 -> 1 : 1
77 -> 2 : 1
77 -> 87 : 15
76 -> 66 : 16
76 -> 86 : 9
76 -> 75 : 11
76 -> 77 : 11
66 -> 65 : 13
66 -> 56 : 19
66 -> 67 : 9
66 -> 76 : 14
65 -> 55 : 19
65 -> 75 : 10
65 -> 64 : 13
65 -> 66 : 12
55 -> 54 : 23
55 -> 65 : 18
55 -> 45 : 19
55 -> 56 : 16
54 -> 64 : 12
54 -> 44 : 14
54 -> 55 : 21
54 -> 53 : 20
64 -> 74 : 21
64 -> 54 : 13
64 -> 63 : 10
64 -> 65 : 11
74 -> 73 : 11
74 -> 84 : 15
74 -> 75 : 7
74 -> 64 : 13
73 -> 72 : 13
73 -> 83 : 10
73 -> 74 : 9
73 -> 63 : 8
72 -> 71 : 24
72 -> 82 : 8
72 -> 62 : 10
72 -> 73 : 14
71 -> 61 : 17
71 -> 72 : 19
71 -> 81 : 13
71 -> 70 : 19
61 -> 51 : 11
61 -> 62 : 18
61 -> 71 : 20
61 -> 60 : 12
51 -> 52 : 16
51 -> 41 : 10
51 -> 50 : 8
51 -> 61 : 17
52 -> 53 : 18
52 -> 42 : 11
52 -> 62 : 13
52 -> 51 : 12
53 -> 52 : 15
53 -> 43 : 20
53 -> 54 : 17
53 -> 63 : 12
42 -> 43 : 16
42 -> 52 : 14
42 -> 32 : 7
42 -> 41 : 10
43 -> 44 : 14
43 -> 33 : 17
43 -> 42 : 13
43 -> 53 : 14
44 -> 45 : 24
44 -> 54 : 15
44 -> 43 : 9
44 -> 34 : 16
45 -> 46 : 19
45 -> 44 : 15
45 -> 35 : 26
45 -> 55 : 23
46 -> 36 : 17
46 -> 56 : 14
46 -> 45 : 23
46 -> 47 : 15
36 -> 26 : 17
36 -> 37 : 13
36 -> 35 : 9
36 -> 46 : 18
26 -> 36 : 13
26 -> 25 : 15
26 -> 27 : 7
26 -> 16 : 10
37 -> 38 : 19
37 -> 36 : 12
37 -> 47 : 10
37 -> 27 : 6
38 -> 48 : 14
38 -> 37 : 14
38 -> 39 : 14
38 -> 28 : 8
48 -> 49 : 18
48 -> 47 : 21
48 -> 58 : 17
48 -> 38 : 6
49 -> 59 : 15
49 -> 39 : 17
49 -> 40 : 17
49 -> 48 : 12
59 -> 69 : 19
59 -> 58 : 20
59 -> 50 : 18
59 -> 49 : 13
69 -> 68 : 12
69 -> 60 : 19
69 -> 79 : 8
69 -> 59 : 18
68 -> 67 : 13
68 -> 58 : 17
68 -> 78 : 7
68 -> 69 : 10
67 -> 77 : 11
67 -> 66 : 8
67 -> 57 : 14
67 -> 68 : 12
78 -> 77 : 5
78 -> 88 : 8
78 -> 68 : 8
78 -> 79 : 7
56 -> 57 : 20
56 -> 66 : 18
56 -> 46 : 15
56 -> 55 : 14
57 -> 56 : 18
57 -> 58 : 14
57 -> 47 : 13
57 -> 67 : 14
58 -> 68 : 14
58 -> 48 : 21
58 -> 59 : 20
58 -> 57 : 11
47 -> 37 : 14
47 -> 48 : 16
47 -> 46 : 15
47 -> 57 : 13
35 -> 36 : 16
35 -> 34 : 13
35 -> 45 : 19
35 -> 25 : 12
33 -> 34 : 16
33 -> 23 : 14
33 -> 32 : 11
33 -> 43 : 15
34 -> 24 : 17
34 -> 44 : 20
34 -> 33 : 14
34 -> 35 : 14
24 -> 23 : 11
24 -> 25 : 8
24 -> 34 : 21
24 -> 14 : 8
23 -> 33 : 12
23 -> 22 : 9
23 -> 13 : 14
23 -> 24 : 12
22 -> 32 : 10
22 -> 23 : 15
22 -> 12 : 10
22 -> 21 : 13
32 -> 22 : 9
32 -> 33 : 14
32 -> 42 : 10
32 -> 31 : 10
13 -> 14 : 12
13 -> 12 : 15
13 -> 23 : 6
13 -> 3 : 12
14 -> 4 : 8
14 -> 77 : 1
14 -> 15 : 14
14 -> 24 : 9
14 -> 13 : 5
4 -> 3 : 15
4 -> 5 : 10
4 -> 14 : 12
4 -> 94 : 10
3 -> 93 : 17
3 -> 2 : 15
3 -> 13 : 13
3 -> 4 : 12
93 -> 83 : 20
93 -> 3 : 18
93 -> 92 : 15
93 -> 94 : 13
83 -> 93 : 19
83 -> 73 : 10
83 -> 82 : 15
83 -> 84 : 12
92 -> 2 : 11
92 -> 82 : 14
92 -> 91 : 8
92 -> 93 : 15
2 -> 92 : 14
2 -> 12 : 12
2 -> 1 : 17
2 -> 4 : 1
2 -> 3 : 14
82 -> 83 : 10
82 -> 92 : 8
82 -> 72 : 12
82 -> 81 : 26
12 -> 2 : 14
12 -> 11 : 11
12 -> 13 : 13
12 -> 22 : 11
11 -> 10 : 12
11 -> 12 : 12
11 -> 21 : 15
11 -> 1 : 8
1 -> 46 : 1
1 -> 11 : 22
1 -> 0 : 18
1 -> 2 : 17
1 -> 91 : 6
50 -> 59 : 17
50 -> 40 : 12
50 -> 51 : 9
50 -> 60 : 9
75 -> 85 : 12
75 -> 74 : 10
75 -> 76 : 10
75 -> 65 : 11
85 -> 86 : 11
85 -> 75 : 13
85 -> 95 : 14
85 -> 84 : 9
86 -> 76 : 10
86 -> 96 : 13
86 -> 87 : 20
86 -> 85 : 8
96 -> 86 : 13
96 -> 95 : 13
96 -> 6 : 5
96 -> 97 : 8
87 -> 86 : 18
87 -> 97 : 8
87 -> 88 : 9
87 -> 77 : 16
97 -> 98 : 9
97 -> 96 : 7
97 -> 87 : 7
97 -> 7 : 8
98 -> 99 : 11
98 -> 97 : 8
98 -> 88 : 5
98 -> 8 : 12
99 -> 9 : 11
99 -> 89 : 8
99 -> 98 : 6
99 -> 90 : 10
9 -> 8 : 13
9 -> 19 : 7
9 -> 99 : 10
9 -> 0 : 10
8 -> 9 : 13
8 -> 18 : 11
8 -> 98 : 9
8 -> 7 : 8
19 -> 10 : 16
19 -> 29 : 13
19 -> 18 : 4
19 -> 9 : 5
10 -> 11 : 8
10 -> 20 : 14
10 -> 0 : 14
10 -> 19 : 9
21 -> 20 : 9
21 -> 31 : 25
21 -> 22 : 17
21 -> 11 : 6
20 -> 21 : 17
20 -> 10 : 7
20 -> 30 : 11
20 -> 29 : 14
31 -> 41 : 15
31 -> 21 : 12
31 -> 32 : 16
31 -> 30 : 7
41 -> 51 : 19
41 -> 42 : 14
41 -> 31 : 5
41 -> 40 : 10
62 -> 72 : 13
62 -> 52 : 10
62 -> 61 : 13
62 -> 63 : 13
81 -> 71 : 13
81 -> 91 : 17
81 -> 82 : 18
81 -> 80 : 9
63 -> 62 : 8
63 -> 73 : 6
63 -> 64 : 17
63 -> 53 : 12
0 -> 90 : 16
0 -> 9 : 11
0 -> 10 : 10
0 -> 1 : 19
90 -> 0 : 12
90 -> 91 : 14
90 -> 80 : 8
90 -> 99 : 8
89 -> 99 : 7
89 -> 79 : 8
89 -> 80 : 3
89 -> 88 : 4
79 -> 78 : 9
79 -> 70 : 11
79 -> 69 : 12
79 -> 89 : 3
88 -> 98 : 12
88 -> 89 : 5
88 -> 87 : 7
88 -> 78 : 3
70 -> 79 : 12
70 -> 80 : 10
70 -> 60 : 12
70 -> 71 : 11
80 -> 70 : 5
80 -> 81 : 11
80 -> 90 : 9
80 -> 89 : 6
60 -> 69 : 16
60 -> 61 : 14
60 -> 50 : 13
60 -> 70 : 11
40 -> 30 : 12
40 -> 41 : 13
40 -> 50 : 7
40 -> 49 : 12
30 -> 31 : 12
30 -> 39 : 9
30 -> 20 : 13
30 -> 40 : 5
25 -> 35 : 11
25 -> 26 : 10
25 -> 15 : 15
25 -> 24 : 10
27 -> 17 : 6
27 -> 26 : 7
27 -> 28 : 13
27 -> 37 : 6
17 -> 16 : 11
17 -> 18 : 11
17 -> 7 : 6
17 -> 27 : 6
16 -> 26 : 10
16 -> 17 : 15
16 -> 15 : 10
16 -> 6 : 9
84 -> 94 : 14
84 -> 85 : 7
84 -> 74 : 7
84 -> 83 : 16
29 -> 19 : 12
29 -> 28 : 11
29 -> 20 : 12
29 -> 39 : 14
28 -> 18 : 9
28 -> 38 : 11
28 -> 27 : 11
28 -> 29 : 12
18 -> 17 : 7
18 -> 19 : 10
18 -> 28 : 11
18 -> 8 : 7
7 -> 6 : 8
7 -> 8 : 9
7 -> 97 : 6
7 -> 17 : 5
6 -> 5 : 6
6 -> 16 : 7
6 -> 96 : 11
6 -> 7 : 4
5 -> 6 : 8
5 -> 15 : 5
5 -> 95 : 18
5 -> 4 : 12
39 -> 30 : 10
39 -> 49 : 18
39 -> 38 : 15
39 -> 29 : 11
91 -> 92 : 12
91 -> 1 : 21
91 -> 90 : 6
91 -> 81 : 7
15 -> 16 : 14
15 -> 25 : 11
15 -> 5 : 14
15 -> 14 : 5
95 -> 94 : 19
95 -> 85 : 19
95 -> 5 : 14
95 -> 96 : 8
94 -> 84 : 8
94 -> 93 : 17
94 -> 95 : 15
94 -> 4 : 14
***** Observation. ORDER 2 *****
67,77 -> 78 : 1
67,77 -> 87 : 5
67,77 -> 76 : 3
67,77 -> 67 : 1
78,77 -> 67 : 2
78,77 -> 87 : 2
78,77 -> 76 : 1
76,66 -> 65 : 3
76,66 -> 67 : 4
