
***** Observations ORDER 1 *****
77 -> 76 : 1
77 -> 78 : 1
77 -> 67 : 1
76 -> 66 : 1
66 -> 65 : 1
66 -> 56 : 2
65 -> 55 : 1
55 -> 54 : 1
54 -> 64 : 1
54 -> 44 : 1
64 -> 74 : 1
74 -> 73 : 1
73 -> 72 : 1
73 -> 83 : 1
72 -> 71 : 1
71 -> 61 : 1
61 -> 51 : 1
51 -> 52 : 1
52 -> 53 : 1
52 -> 42 : 1
53 -> 52 : 1
42 -> 43 : 1
43 -> 44 : 1
43 -> 33 : 1
44 -> 45 : 1
44 -> 54 : 1
44 -> 43 : 1
45 -> 46 : 1
45 -> 44 : 1
46 -> 36 : 2
46 -> 56 : 1
46 -> 45 : 1
36 -> 26 : 1
36 -> 37 : 1
36 -> 35 : 1
36 -> 46 : 2
26 -> 36 : 1
37 -> 38 : 1
37 -> 36 : 1
38 -> 48 : 1
48 -> 49 : 1
48 -> 47 : 1
49 -> 59 : 1
59 -> 69 : 1
69 -> 68 : 1
68 -> 67 : 1
68 -> 58 : 1
67 -> 77 : 1
67 -> 66 : 1
78 -> 77 : 1
56 -> 57 : 2
56 -> 66 : 1
56 -> 46 : 1
57 -> 56 : 1
57 -> 58 : 1
58 -> 68 : 1
58 -> 48 : 1
47 -> 37 : 1
35 -> 36 : 1
33 -> 34 : 1
33 -> 23 : 2
34 -> 24 : 1
24 -> 23 : 1
23 -> 33 : 2
23 -> 22 : 1
23 -> 13 : 1
22 -> 32 : 1
22 -> 23 : 1
32 -> 22 : 1
13 -> 14 : 1
14 -> 4 : 1
4 -> 3 : 1
3 -> 93 : 2
3 -> 2 : 1
93 -> 83 : 2
93 -> 3 : 2
93 -> 92 : 1
83 -> 93 : 3
83 -> 73 : 1
92 -> 2 : 1
92 -> 82 : 1
2 -> 92 : 1
2 -> 12 : 2
82 -> 83 : 1
12 -> 2 : 1
12 -> 11 : 1
11 -> 10 : 1


***** Distributions ORDER 1 *****
77 -> 76 : 0.3333333333333333
77 -> 78 : 0.3333333333333333
77 -> 67 : 0.3333333333333333
76 -> 66 : 1.0
66 -> 65 : 0.3333333333333333
66 -> 56 : 0.6666666666666666
65 -> 55 : 1.0
55 -> 54 : 1.0
54 -> 64 : 0.5
54 -> 44 : 0.5
64 -> 74 : 1.0
74 -> 73 : 1.0
73 -> 72 : 0.5
73 -> 83 : 0.5
72 -> 71 : 1.0
71 -> 61 : 1.0
61 -> 51 : 1.0
51 -> 52 : 1.0
52 -> 53 : 0.5
52 -> 42 : 0.5
53 -> 52 : 1.0
42 -> 43 : 1.0
43 -> 44 : 0.5
43 -> 33 : 0.5
44 -> 45 : 0.3333333333333333
44 -> 54 : 0.3333333333333333
